	Params	Mutation_Rate	Cross_Rate	Population_Size	Total_Generations	Elistism	Selection_Method	Tournament_Count	Bests_Results	Number_times_got_best_solution
27	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.05	1.0	50	50	1	R	10	395.07142857142856	0
28	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.05	1.0	50	50	5	T	2	395.63793103448273	0
30	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.05	1.0	50	50	5	R	2	394.88709677419354	0
31	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.05	1.0	50	50	5	R	10	395.809375	0
32	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.1	0.7	50	50	1	T	2	397.06666666666666	0
33	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.1	0.7	50	50	1	T	10	396.1794117647059	0
34	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.1	0.7	50	50	1	R	2	397.59714285714284	0
35	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.1	0.7	50	50	1	R	10	398.68333333333334	0
36	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.1	0.7	50	50	5	T	2	399.3054054054054	0
38	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.1	0.7	50	50	5	R	2	398.96666666666664	0
39	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.1	0.7	50	50	5	R	10	399.82	0
40	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.1	1.0	50	50	1	T	2	400.76585365853657	0
41	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.1	1.0	50	50	1	T	10	399.3333333333333	0
42	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.1	1.0	50	50	1	R	2	400.3860465116279	0
43	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.1	1.0	50	50	1	R	10	401.42954545454546	0
44	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.1	1.0	50	50	5	T	2	401.8644444444444	0
46	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.1	1.0	50	50	5	R	2	401.8872340425532	0
47	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.1	1.0	50	50	5	R	10	402.7104166666667	0
48	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.01	0.7	100	50	1	T	2	402.4387755102041	0
50	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.01	0.7	100	50	1	R	2	401.2470588235294	0
51	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.01	0.7	100	50	1	R	10	401.6057692307692	0
52	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.01	0.7	100	50	5	T	2	400.36603773584903	0
54	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.01	0.7	100	50	5	R	2	398.8090909090909	0
55	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.01	0.7	100	50	5	R	10	398.8517857142857	0
56	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.01	1.0	100	50	1	T	2	398.5561403508772	0
58	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.01	1.0	100	50	1	R	2	397.43898305084747	0
59	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.01	1.0	100	50	1	R	10	397885	0
62	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.01	1.0	100	50	5	R	2	395.3095238095238	0
63	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 10	0.01	1.0	100	50	5	R	10	395.34375	0
64	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method T, Tournament: 2	0.05	0.7	100	50	1	T	2	395.62	0
66	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 2	0.05	0.7	100	50	1	R	2	395.00298507462685	0
67	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method R, Tournament: 10	0.05	0.7	100	50	1	R	10	395.6485294117647	0
68	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 2	0.05	0.7	100	50	5	T	2	395.6753623188406	0
70	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method R, Tournament: 2	0.05	0.7	100	50	5	R	2	395.19859154929577	0
